"Zona","Year","Total","Hombres","Mujeres"
"Aruba","2010",16.56,17.4,15.64
"Afganistán","2021",43.769,19.632,65.079
"Angola","2022",24.806,23.501,26.07
"Albania","2023",23.16,22.275,24.048
"Antillas Neerlandesas","2011",4.77,4.58,4.95
"Emiratos Árabes Unidos","2023",8.917,5.95,14.891
"Argentina","2024",16.324,14.684,18.063
"Armenia","2023",20.177,16.985,23.02
"Antigua y Barbuda","2023",17.864,18.236,17.486
"Australia","2024",8.53,9.066,7.957
"Austria","2024",8.701,8.615,8.789
"Azerbaiyán","2010",9.64,6.96,12.39
"Burundi","2020",11.167,11.458,10.942
"Bélgica","2024",7.339,8.321,6.318
"Benin","2022",14.241,11.766,16.746
"Burkina Faso","2024",21.634,15.84,26.336
"Bangladesh","2023",14.338,9.642,18.804
"Bulgaria","2024",10.495,9.626,11.417
"Bosnia y Herzegovina","2023",15.98,16.909,14.996
"Belarús","2022",5.149,5.168,5.13
"Belice","2019",24.884,14.698,34.817
"Bermudas","2010",6.79,8.18,5.48
"Bolivia (Estado Plurinacional de)","2024",8.021,4.938,11.136
"Brasil","2024",19.312,14.509,24.299
"Barbados","2016",28.993,32.151,25.882
"Brunei Darussalam","2023",16.524,14.356,18.913
"Bhután","2024",20.241,17.414,23.097
"Botswana","2023",37.581,34.76,40.434
"Canadá","2024",12.988,14.059,11.845
"Suiza","2024",6.915,7.878,5.888
"Chile","2024",13.759,12.607,14.95
"China","2000",12.688,10.948,14.492
"Côte d'Ivoire","2022",18.834,12.86,24.568
"Camerún","2021",23.223,14.703,30.418
"Congo, Rep. Dem. del","2020",31.372,28.66,33.88
"Congo","2009",22.271,21.576,22.835
"Islas Cook","2023",20.303,22.655,18.052
"Colombia","2024",23.152,16.621,29.852
"Comoras","2021",21.168,19.606,22.834
"Cabo Verde","2019",27.99,27.1,29
"Costa Rica","2024",18.282,15.61,21.494
"Curaçao","2020",17.46,18.81,16.08
"Chipre","2024",10.636,9.975,11.309
"Chequia","2024",4.617,3.27,5.948
"Alemania","2024",7.451,7.229,7.69
"Djibouti","2017",51.027,47.691,54.314
"Dinamarca","2024",6.848,6.559,7.148
"República Dominicana","2024",25.776,20.77,30.848
"Argelia","2017",20.95,10.94,31.69
"Ecuador","2024",18.951,11.091,27.98
"Egipto","2023",24.567,14.616,36.166
"España","2024",10.124,10.572,9.645
"Estonia","2024",10.233,11.872,8.617
"Etiopía","2021",17.529,9.869,24.875
"Finlandia","2024",8.171,8.963,7.38
"Fiji","2024",20.786,15.348,26.894
"Islas Malvinas, Falkland Islands","2012",3.25,2.55,3.97
"Francia","2024",10.727,11.608,9.814
"Micronesia (Estados Federados de)","2014",28.673,23.776,33.615
"Reino Unido de Gran Bretaña e Irlanda del Norte","2024",14.3,15.468,13.09
"Georgia","2020",24.906,23.575,26.366
"Guernesey","2016",1.35,1.66,1
"Ghana","2022",27.604,25.242,29.803
"Guinea","2019",34.301,24.845,41.492
"Gambia","2023",39.848,40.971,38.84
"Guinea-Bissau","2022",13.201,11.198,15.173
"Grecia","2024",10.43,10.781,10.075
"Granada","2023",20.092,19.565,20.65
"Guatemala","2023",23.824,7.511,38.403
"Guyana","2019",45.662,38.281,52.742
"Hong Kong, China","2024",5.668,6.257,5.062
"Honduras","2024",30.75,16.619,43.554
"Croacia","2024",8.027,8.406,7.614
"Haití","2012",21.086,14.247,27.884
"Hungría","2024",9.98,8.581,11.456
"Indonesia","2023",21.365,16.694,26.323
"India","2024",24.188,10.325,39.04
"Irlanda","2024",5.762,5.562,5.977
"Irán (República Islámica del)","2023",25.65,16.184,35.977
"Iraq","2021",36.932,22.121,52.713
"Islandia","2024",3.975,4.307,3.606
"Israel","2023",14.935,14.192,15.663
"Italia","2024",11.959,12.298,11.596
"Jamaica","2023",19.696,19.13,20.282
"Jordania","2023",30.233,26.285,34.544
"Japón","2019",3.14,2.73,3.76
"Kazajstán","2016",9.491,,
"Kenya","2022",27.785,22.671,32.673
"Kirguistán","2023",19.307,12.578,26.083
"Camboya","2023",6.315,4.333,8.342
"Kiribati","2023",35.412,31.493,39.536
"Kosovo","2023",33.257,32.685,33.852
"República Democrática Popular Lao","2022",22.509,20.392,24.614
"Líbano","2019",23.518,17.91,28.889
"Liberia","2017",39.937,38.842,40.852
"Santa Lucía","2024",23.451,25.419,21.576
"Sri Lanka","2022",18.051,13.535,22.321
"Lesotho","2024",37.98,32.691,43.388
"Lituania","2024",14.912,16.786,12.922
"Luxemburgo","2024",9.459,10.291,8.577
"Letonia","2024",9.001,9.138,8.858
"Macao, China","2016",4.96,5.56,4.32
"Marruecos","2014",35.275,16.567,53.911
"República de Moldova","2024",11.491,12.18,10.794
"Madagascar","2022",24.327,18.442,29.998
"Maldivas","2019",26.27,24.072,28.506
"México","2025",16.646,9.338,23.826
"Islas Marshall","2021",39.972,38.075,42.019
"Macedonia del Norte","2024",18.47,19.451,17.434
"Malí","2022",26.671,13.711,39.589
"Malta","2024",7.629,7.641,7.616
"Myanmar","2020",15.02,8.884,20.72
"Montenegro","2023",17.621,17.533,17.717
"Mongolia","2023",14.622,13.358,16.006
"Mozambique","2022",19.239,15.848,22.182
"Mauritania","2019",44.085,32.026,54.847
"Mauricio","2023",17.37,14.634,20.152
"Malawi","2020",19.41,13.665,24.887
"Malasia","2022",10.22,9.91,10.57
"Namibia","2018",31.884,29.372,34.341
"Nueva Caledonia","2022",23.618,22.878,24.385
"Níger","2022",15.657,8.749,22.036
"Nigeria","2023",11.723,8.52,14.973
"Nicaragua","2014",24.488,8.492,40.068
"Niue","2022",10.825,13.83,8
"Países Bajos","2024",3.579,3.535,3.624
"Noruega","2024",5.987,6.169,5.797
"Nepal","2017",34.763,21.156,45.817
"Nauru","2021",40.986,33.366,48.884
"Nueva Zelandia","2024",12.75,12.41,13.12
"Omán","2022",25.5,20.76,32.11
"Pakistán","2021",34.564,13.59,56.417
"Panamá","2024",14.704,10.276,19.26
"Perú","2022",22.779,19.882,25.767
"Filipinas","2023",12.143,9.141,15.302
"Palaos","2020",18.041,16.962,19.222
"Papua Nueva Guinea","2022",27.69,24.385,31.166
"Polonia","2024",10.543,10.658,10.422
"Puerto Rico","2020",19.487,20.708,18.22
"Portugal","2024",7.761,8.03,7.481
"Paraguay","2017",18.586,10.328,27.637
"Territorio palestino ocupado","2024",26.729,25.634,27.871
"Reunión","2012",28.59,29.35,27.83
"Rumania","2024",17.037,13.529,20.737
"Federación Rusia","2024",8.424,7.088,9.846
"Rwanda","2024",25.862,21.757,29.832
"Arabia Saudita","2024",16.163,12.552,20.954
"Sudán","2022",46.529,29.563,62.055
"Senegal","2022",31.327,20.036,41.084
"Singapur","2024",6.009,6.533,5.44
"Islas Salomón","2013",7.044,5.096,8.944
"Sierra Leona","2018",33.167,31.227,34.813
"El Salvador","2023",21.518,11.49,30.757
"Somalia","2019",43.734,37.23,49.728
"Serbia","2024",12.598,12.697,12.493
"Sudán del Sur","2008",29.061,25.725,32.283
"Santo Tomé y Príncipe","2017",48.73,47.621,49.819
"Suriname","2016",18.193,14.727,21.849
"Eslovaquia","2024",8.75,8.853,8.641
"Eslovenia","2024",7.125,7.59,6.582
"Suecia","2024",5.51,5.898,5.096
"Eswatini","2023",36.472,33.854,39.031
"Seychelles","2024",16.932,18.045,15.827
"Chad","2018",37.047,24.814,46.376
"Togo","2022",13.02,10.347,15.486
"Tailandia","2024",12.824,9.859,15.804
"Tayikistán","2016",41.328,26.314,57.628
"Tokelau","2022",41.593,33.871,50.98
"Timor-Leste","2022",29.122,29.053,29.192
"Tonga","2023",25.611,23.255,27.826
"Trinidad y Tabago","2023",14.381,11.768,16.912
"Túnez","2023",22.648,24.43,20.791
"Türkiye","2024",22.946,16.22,30.124
"Tuvalu","2022",34.349,33.298,35.537
"Tanzanía, República Unida de","2020",11.671,7.254,15.787
"Uganda","2021",13.765,9.343,17.767
"Ucrania","2017",16.47,13.46,19.65
"Uruguay","2024",14.028,12.959,15.139
"Estados Unidos de América","2024",11.597,11.206,11.994
"Venezuela (República Bolivariana de)","2020",37.13,44.04,30.1
"Viet Nam","2023",10.818,9.947,11.759
"Vanuatu","2020",47.532,44.926,50.188
"Wallis y Futuna","2023",20.221,21.113,19.266
"Samoa","2022",30.09,27.611,32.725
"Yemen","2014",44.77,22.057,69.69
"Sudáfrica","2024",34.61,33.618,35.606
"Zambia","2023",28.926,25.422,32.336
"Zimbabwe","2023",29.98,23.764,36.045
